Nuovo Codice Prestazione Catalogo,Nuova Descrizione Prestazione,Accesso,Numero Prestazioni Erogate,Descrizione Completa Prestazione,Frequenza Erogazione
5004,17 Alfa Idrossiprogesterone 17 Ohp,00Non Definita,1,5004  17 Alfa Idrossiprogesterone 17 Ohp  00Non Definita,Bassa
5126,Colesterolo Totale Sieroplasma,00Non Definita,1,5126  Colesterolo Totale Sieroplasma  00Non Definita,Bassa
5147,Delta 4 Androstenedione Sieroplasma,00Non Definita,1,5147  Delta 4 Androstenedione Sieroplasma  00Non Definita,Bassa
5344,Prolattina Prl Sieroplasma,00Non Definita,1,5344  Prolattina Prl Sieroplasma  00Non Definita,Bassa
5379,Tireotropina Tsh Sieroplasma,00Non Definita,1,5379  Tireotropina Tsh Sieroplasma  00Non Definita,Bassa
5381,Tiroxina Libera Ft4 Sieroplasma,00Non Definita,1,5381  Tiroxina Libera Ft4 Sieroplasma  00Non Definita,Bassa
5387,Trigliceridi Sieroplasma,00Non Definita,1,5387  Trigliceridi Sieroplasma  00Non Definita,Bassa
5388,Triodotironina Libera Ft3 Sieroplasma,00Non Definita,1,5388  Triodotironina Libera Ft3 Sieroplasma  00Non Definita,Bassa
7001,Es Istopatologico Cavo Orale  Asportazione Completa Di Neoformazione,00Non Definita,1,7001  Es Istopatologico Cavo Orale  Asportazione Completa Di Neoformazione  00Non Definita,Bassa
7006,Es Istopatologico Cute  Escissione Di Neoformazioni,00Non Definita,3,7006  Es Istopatologico Cute  Escissione Di Neoformazioni  00Non Definita,Bassa
7051,Es Istopatologico App Genitale  Biopsia Annessi Testicolari Es Istopatologico App Genitale  Biopsia Testicolare Monobilaterale,00Non Definita,1,7051  Es Istopatologico App Genitale  Biopsia Annessi Testicolari Es Istopatologico App Genitale  Biopsia Testicolare Monobilaterale  00Non Definita,Bassa
7059,Es Istopatologico App Genitale  Polipectomia Endometriale,00Non Definita,1,7059  Es Istopatologico App Genitale  Polipectomia Endometriale  00Non Definita,Bassa
7064,Esame Istopatologico App Urinario  Biopsia Endoscopica Vescicale Per Campione,00Non Definita,1,7064  Esame Istopatologico App Urinario  Biopsia Endoscopica Vescicale Per Campione  00Non Definita,Bassa
8167,,00Non Definita,1,8167    00Non Definita,Bassa
90142,Colesterolo Ldl,00Non Definita,3,90142  Colesterolo Ldl  00Non Definita,Bassa
1001,Visita Urologica,01Prescrizione Su Ricettario Ssn,4366,1001  Visita Urologica  01Prescrizione Su Ricettario Ssn,Alta
1002,Visita Uroginecologica,01Prescrizione Su Ricettario Ssn,635,1002  Visita Uroginecologica  01Prescrizione Su Ricettario Ssn,Alta
1004,Visita Trapiantologica,01Prescrizione Su Ricettario Ssn,413,1004  Visita Trapiantologica  01Prescrizione Su Ricettario Ssn,Alta
1011,Visita Senologica,01Prescrizione Su Ricettario Ssn,2857,1011  Visita Senologica  01Prescrizione Su Ricettario Ssn,Alta
1012,Visita Reumatologica,01Prescrizione Su Ricettario Ssn,3145,1012  Visita Reumatologica  01Prescrizione Su Ricettario Ssn,Alta
1013,Prima Visita Escluso Le Prime Visite Specificamente Codificate,01Prescrizione Su Ricettario Ssn,17,1013  Prima Visita Escluso Le Prime Visite Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Media
1013,Visita Di Medicina Fisica E Riabilitazione,01Prescrizione Su Ricettario Ssn,225,1013  Visita Di Medicina Fisica E Riabilitazione  01Prescrizione Su Ricettario Ssn,Alta
1015,Visita Radioterapica Incluso Stesura Del Piano Di Trattamento,01Prescrizione Su Ricettario Ssn,2194,1015  Visita Radioterapica Incluso Stesura Del Piano Di Trattamento  01Prescrizione Su Ricettario Ssn,Alta
1018,Prima Visita Escluso Le Prime Visite Specificamente Codificate,01Prescrizione Su Ricettario Ssn,27,1018  Prima Visita Escluso Le Prime Visite Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Media
1018,Visita Psichiatrica,01Prescrizione Su Ricettario Ssn,2106,1018  Visita Psichiatrica  01Prescrizione Su Ricettario Ssn,Alta
1021,Prima Visita Escluso Le Prime Visite Specificamente Codificate,01Prescrizione Su Ricettario Ssn,1,1021  Prima Visita Escluso Le Prime Visite Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Bassa
1021,Visita Podologica,01Prescrizione Su Ricettario Ssn,101,1021  Visita Podologica  01Prescrizione Su Ricettario Ssn,Alta
1022,Visita Pneumologica,01Prescrizione Su Ricettario Ssn,3198,1022  Visita Pneumologica  01Prescrizione Su Ricettario Ssn,Alta
1024,Visita Per Prescrizioni Ausili E Protesi,01Prescrizione Su Ricettario Ssn,1440,1024  Visita Per Prescrizioni Ausili E Protesi  01Prescrizione Su Ricettario Ssn,Alta
1025,Visita Per Procreazione Medicalmente Assistita,01Prescrizione Su Ricettario Ssn,1558,1025  Visita Per Procreazione Medicalmente Assistita  01Prescrizione Su Ricettario Ssn,Alta
1026,Visita Per Piede Diabetico,01Prescrizione Su Ricettario Ssn,513,1026  Visita Per Piede Diabetico  01Prescrizione Su Ricettario Ssn,Alta
1027,Visita Per Osteoporosi,01Prescrizione Su Ricettario Ssn,244,1027  Visita Per Osteoporosi  01Prescrizione Su Ricettario Ssn,Alta
